round,gf_rolling,ga_rolling,sh_rolling,save%_rolling,poss_rolling,average_gf_s,average_gf_sr,average_gf_r,average_gf_t,average_ga_t,average_gf_st,average_ga_st,average_gf_rt,average_gf_sv,gf_hist_home,poss_hist_home,gf_last_game,ga_last_game,venue_code,team_code,opp_code,day_code,unpredicted_factor,month
1,1.3333333333333333,1.6666666666666667,13.0,61.09999999999999,52.333333333333336,,,1.5656565656565657,1.4101876675603218,1.5067024128686326,,,1.2727272727272727,,0.8636363636363636,37.95,1.0,3.0,1,30,3,6,5.0,8
1,,,,,,,,1.5656565656565657,,,,,,,,,,,1,26,14,6,8.385227726021608,8
1,1.6666666666666667,2.3333333333333335,8.666666666666666,,50.0,,,1.5656565656565657,0.8983957219251337,2.6871657754010694,,,3.909090909090909,,3.090909090909091,62.05,2.0,4.0,0,3,30,6,5.067682898655741,8
1,2.0,1.0,13.0,76.86666666666667,46.333333333333336,,,1.5656565656565657,1.6,1.457142857142857,,,0.0,,,,4.0,1.0,0,14,26,6,1.0,8
1,1.6666666666666667,4.0,16.0,56.4,46.333333333333336,,,1.5656565656565657,1.9411764705882353,1.1764705882352942,,,0.3333333333333333,,0.3333333333333333,37.5,1.0,4.0,0,4,24,5,9.0,8
1,2.3333333333333335,1.3333333333333333,18.333333333333332,83.0,52.333333333333336,,,1.5656565656565657,1.7441176470588236,1.3970588235294117,,,0.8,,1.75,53.166666666666664,4.0,1.0,0,29,1,5,9.021167373835068,8
1,0.6666666666666666,1.0,12.333333333333334,75.56666666666666,54.0,,,1.5656565656565657,1.5588235294117647,1.338235294117647,,,1.4,,1.5,44.285714285714285,1.0,2.0,1,10,27,5,5.0,8
1,2.3333333333333335,0.6666666666666666,12.0,82.23333333333333,41.0,,,1.5656565656565657,1.5481283422459893,1.3288770053475936,,,1.0909090909090908,,0.9,50.9,3.0,1.0,1,20,28,5,0.0,8
1,2.6666666666666665,0.3333333333333333,21.333333333333332,100.0,65.66666666666667,,,1.5656565656565657,1.6764705882352942,1.4019607843137254,,,1.8888888888888888,,2.1875,55.785714285714285,4.0,0.0,0,27,10,5,8.520702705961254,8
1,1.3333333333333333,1.3333333333333333,8.666666666666666,77.76666666666667,51.666666666666664,,,1.5656565656565657,1.1282051282051282,1.9816849816849818,,,1.625,,2.0,62.5,2.0,2.0,1,24,4,5,7.0718129519150175,8
1,0.6666666666666666,2.6666666666666665,13.666666666666666,70.23333333333333,32.666666666666664,,,1.5656565656565657,1.6219839142091153,1.262734584450402,,,0.9090909090909091,,1.6,46.888888888888886,1.0,2.0,1,1,29,5,2.124790499375553,8
1,1.3333333333333333,2.6666666666666665,18.333333333333332,65.56666666666668,52.666666666666664,,,1.5656565656565657,1.5254691689008042,1.477211796246649,,,1.0909090909090908,,1.2727272727272727,40.15,2.0,2.0,0,9,6,5,1.0,8
1,3.0,1.3333333333333333,17.0,,67.0,,,1.5656565656565657,1.2546916890080428,2.195710455764075,,,2.909090909090909,,2.409090909090909,59.95,4.0,0.0,1,6,9,5,0.38817403554183727,8
1,2.3333333333333335,2.6666666666666665,11.666666666666666,51.666666666666664,41.333333333333336,,,1.5656565656565657,1.4176470588235295,1.3235294117647058,,,1.8,,2.0,49.1,2.0,1.0,0,28,20,5,4.0,8
1,,,,,,,,1.5656565656565657,,,,,,,,,,,0,17,16,5,0.0,8
1,3.6666666666666665,1.0,16.333333333333332,,54.0,,,1.5656565656565657,1.6176470588235294,1.6978609625668448,,,1.6363636363636365,,,,4.0,2.0,1,16,17,5,2.0,8
1,1.0,2.3333333333333335,12.0,60.1,42.666666666666664,,,1.5656565656565657,1.446524064171123,1.6524064171122994,,,1.3636363636363635,,1.2727272727272727,47.1,0.0,4.0,1,21,2,4,2.0,8
1,4.0,0.6666666666666666,18.333333333333332,,59.0,,,1.5656565656565657,1.2620320855614973,1.8663101604278074,,,1.4545454545454546,,2.0454545454545454,53.05,2.0,1.0,0,2,21,4,0.0,8
