,Wk,schedule_date
0,1.0,2024-08-23
1,2.0,2024-08-30
2,3.0,2024-09-13
3,4.0,2024-09-20
4,5.0,2024-09-27
5,6.0,2024-10-05
6,7.0,2024-10-19
7,8.0,2024-10-26
8,9.0,2024-11-02
9,10.0,2024-11-09
10,11.0,2024-11-23
11,12.0,2024-11-30
12,13.0,2024-12-07
13,14.0,2024-12-14
14,15.0,2024-12-21
15,16.0,2025-01-11
16,17.0,2025-01-15
17,18.0,2025-01-18
18,19.0,2025-01-25
19,20.0,2025-02-01
20,21.0,2025-02-08
21,22.0,2025-02-15
22,23.0,2025-02-22
23,24.0,2025-03-01
24,25.0,2025-03-08
25,26.0,2025-03-15
26,27.0,2025-03-29
27,28.0,2025-04-05
28,29.0,2025-04-12
29,30.0,2025-04-19
30,31.0,2025-04-26
31,32.0,2025-05-03
32,33.0,2025-05-10
33,34.0,2025-05-17
